square_feet,price_thousands
2074,394.54
2342,470.92
3557,690.20
1872,413.69
2170,414.49
2676,528.70
1999,420.14
2422,500.77
4013,830.85
4424,815.59
3108,611.57
1208,266.15
1008,251.33
4331,862.61
3110,623.39
3121,634.57
711,216.48
1711,392.55
1133,291.38
1047,224.17
4501,863.49
554,142.05
1072,260.33
3285,698.77
2141,419.83
1156,281.73
843,198.94
1727,363.21
4032,786.20
3604,675.61
952,204.68
1825,366.34
1686,378.30
4431,874.84
1120,266.32
4623,850.74
3202,661.06
1620,376.27
2155,492.97
3361,653.92
2114,444.40
3544,693.02
881,256.53
3309,700.78
829,173.06
1554,307.14
3137,625.38
1944,441.90
916,229.55
1643,314.55
1354,270.93
1656,374.50
943,241.09
2832,590.73
2181,406.81
1393,311.68
4709,929.12
1253,267.73
4209,858.12
4502,869.20
975,199.91
819,217.92
3435,682.82
2936,626.16
3140,617.92
4888,943.43
4845,915.01
3051,594.01
3820,745.70
2885,530.98
1574,344.04
4297,812.90
3217,620.73
1372,325.64
4113,750.33
1964,425.03
1429,309.99
3201,668.71
4047,789.95
3216,606.37
4716,900.58
1180,295.53
4147,830.55
4848,958.52
4114,775.29
3468,643.75
1511,331.17
1471,355.49
2814,584.10
1654,321.75
2717,540.96
1515,343.66
4901,972.72
3012,641.13
4853,888.24
1134,275.36
3830,735.94
4128,817.06
546,197.62
942,223.37
1708,369.90
4349,841.41
1674,346.58
1948,450.15
2663,519.03
915,240.11
1219,267.49
3528,684.31
1145,272.96
4569,834.06
2267,427.77
566,138.83
2019,453.67
3573,717.02
3169,622.28
1226,289.37
2925,556.50
2096,466.26
895,254.69
3086,594.59
1646,353.30
2939,582.90
4932,941.65
2987,598.36
2506,483.48
1575,350.80
2758,540.66
4870,967.96
835,242.52
1343,286.80
2457,480.18
2881,606.00
2144,479.95
3980,796.59
3022,569.84
597,173.37
567,164.87
1534,377.10
4003,820.49
1076,212.13
1576,322.70
781,214.04
3293,635.75
3112,654.87
3593,697.81
2133,408.26
1024,266.84
930,237.31
3992,823.69
4708,872.62
1475,339.89
1182,255.67
2841,575.27
1541,348.29
1237,249.23
2852,554.55
3770,742.72
1149,268.66
3285,687.78
691,147.74
2716,530.20
2426,502.21
1838,403.26
908,220.84
2267,414.60
2343,475.30
4921,948.45
4286,842.63
4742,910.92
4105,750.29
2445,476.52
2794,541.44
4591,906.62
2777,584.53
2204,434.63
4252,834.62
4793,907.45
2660,534.88
4035,813.54
1960,368.49
3183,633.99
4044,791.63
1829,407.94
864,222.81
3656,716.00
2051,394.19
1425,336.76
1815,374.58
2787,602.55
3391,668.59
2060,416.37
3911,751.02
3821,743.05
2984,621.53
4138,802.43
3658,699.72
3249,643.18
4925,981.88
1031,242.44
1149,260.98
4759,902.96
4788,899.96
2045,423.81
1699,409.92
695,184.64
3824,728.73
2233,460.73
3609,698.00
3805,752.47
3410,651.36
1037,224.56
4764,930.33
4270,865.45
3364,715.86
4978,947.88
3988,791.32
1714,381.19
919,243.21
4879,952.81
2592,472.54
1709,336.83
2329,487.45
3650,703.83
3996,798.33
2030,395.81
4897,926.02
3974,799.78
1352,320.93
4349,885.37
3043,603.75
3230,618.81
4062,812.74
806,239.17
2703,542.00
1601,350.44
758,184.24
1209,274.45
1252,317.82
3025,654.15
1813,385.40
2155,421.03
2122,419.34
1369,320.41
3872,752.86
2191,418.24
4544,893.86
3446,690.69
4364,869.88
3088,629.73
3937,762.84
1861,401.24
1999,416.43
1781,391.60
1930,451.15
2500,491.58
3861,760.72
4454,837.16
4784,906.42
3457,717.32
1040,194.17
569,120.55
568,171.44
3691,757.80
2267,478.11
1498,284.01
967,222.51
4898,936.86
4930,944.12
4719,920.55
985,205.22
4604,897.00
1374,323.74
4829,918.98
4380,878.54
4312,840.10
3434,686.87
504,159.74
2896,604.88
2933,636.45
4974,946.07
865,178.58
1790,354.71
2907,580.53
1942,430.90
3080,585.10
4345,828.22
1773,351.05
1741,369.08
1375,308.77
4388,797.34
1040,235.15
4569,858.69
1323,305.34
4241,859.80
2128,437.57
2688,527.43
4656,913.46
2757,564.76
698,227.97
4689,886.08
1627,356.97
963,234.35
4252,829.08
4003,775.23
2824,551.87
814,201.72
1212,305.61
3911,765.45
2349,511.17
791,193.74
2366,475.93
1471,314.06
1957,436.31
4084,810.20
2928,575.67
4936,952.89
2806,539.40
1956,413.84
2603,527.66
2184,457.15
3850,736.65
3292,675.73
2382,492.46
1597,390.21
4854,897.24
3209,617.55
4368,864.30
3741,725.38
2908,607.44
2982,546.25
1597,336.69
4393,865.11
3316,649.20
959,231.20
1808,359.02
845,171.21
4643,906.58
4721,911.11
840,215.11
1256,233.67
2707,550.45
2414,484.52
3144,615.66
2901,582.55
3480,636.49
1389,321.38
3299,626.58
3480,682.27
1631,392.45
2033,403.46
1583,327.00
3097,596.14
1017,254.97
2751,559.62
3637,699.75
1552,307.61
2471,513.33
2919,567.96
4122,799.22
1168,243.26
1201,253.96
2179,467.90
2340,464.32
615,203.32
4099,764.81
1410,273.24
4029,800.98
1408,348.38
1825,423.63
903,227.03
2166,426.28
1305,312.40
4922,969.95
4254,865.97
4044,791.88
1645,369.70
1980,423.06
3746,759.56
3484,724.94
2292,445.33
1011,235.00
2765,580.56
2209,480.94
4085,828.76
2333,478.11
3496,692.94
1443,339.42
3137,617.19
3025,622.71
4909,909.53
2313,447.39
1814,399.43
4379,830.02
2614,555.01
3922,763.03
4945,959.54
2607,527.72
3972,806.85
